Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
Monsters of California,2023,4.8,"Adventure,Sci-Fi",1h 50m,,Tom DeLonge,"Ian Miller,Tom DeLonge","Jack Lancaster,Jared Scott,Jack Samson"
57 Seconds,2023,5.3,"Sci-Fi,Thriller",1h 39m , R,Rusty Cundieff,"Rusty Cundieff,Macon Blair,E.C. Tubb","Greg Germann,Josh Hutcherson,Morgan Freeman"
The Flash,2023,6.7,"Action,Adventure,Fantasy",2h 24m , PG-13,Andy Muschietti,"Christina Hodson,John Francis Daley,Jonathan Goldstein","Michael Keaton,Sasha Calle,Ezra Miller"
Everything Everywhere All at Once,2022,7.8,"Action,Adventure,Comedy",2h 19m , R,"Daniel Scheinert,Daniel Kwan","Daniel Scheinert,Daniel Kwan","Stephanie Hsu,Jamie Lee Curtis,Michelle Yeoh"
The Creator,2023,7.1,"Action,Adventure,Drama",2h 13m , PG-13,Gareth Edwards,"Gareth Edwards,Chris Weitz","John David Washington,Madeleine Yuna Voyles,Gemma Chan"
The Faculty,1998,6.6,"Horror,Mystery,Sci-Fi",1h 44m , R,Robert Rodriguez,"David Wechter,Kevin Williamson,Bruce Kimmel","Clea DuVall,Jordana Brewster,Laura Harris"
Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi",2h 7m , PG-13,Steven Spielberg,"Michael Crichton,David Koepp","Jeff Goldblum,Sam Neill,Laura Dern"
They Live,1988,7.2,"Action,Horror,Sci-Fi",1h 34m , R,John Carpenter,"John Carpenter,Ray Nelson","Keith David,Meg Foster,Roddy Piper"
Avengers: Endgame,2019,8.4,"Action,Adventure,Drama",3h 1m , PG-13,"Joe Russo,Anthony Russo","Christopher Markus,Stan Lee,Stephen McFeely","Chris Evans,Mark Ruffalo,Robert Downey Jr."
65,2023,5.4,"Action,Adventure,Drama",1h 33m , PG-13,"Bryan Woods,Scott Beck","Bryan Woods,Scott Beck","Chloe Coleman,Ariana Greenblatt,Adam Driver"
Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi",2h , R,George Miller,"George Miller,Nick Lathouris,Brendan McCarthy","Nicholas Hoult,Charlize Theron,Tom Hardy"
Tenet,2020,7.3,"Action,Sci-Fi,Thriller",2h 30m , PG-13,Christopher Nolan,,"John David Washington,Elizabeth Debicki,Robert Pattinson"
Starship Troopers,1997,7.3,"Action,Adventure,Sci-Fi",2h 9m , R,Paul Verhoeven,"Robert A. Heinlein,Edward Neumeier","Dina Meyer,Denise Richards,Casper Van Dien"
Idiocracy,2006,6.5,"Adventure,Comedy,Sci-Fi",1h 24m , R,Mike Judge,"Etan Cohen,Mike Judge","Maya Rudolph,Dax Shepard,Luke Wilson"
